X	Y	Level of Risk
433279.11	6476614.00	B.Low
433464.03	6477398.00	B.Low
434265.36	6477035.00	B.Low
435344.07	6476693.80	B.Low
435159.15	6477819.00	B.Low
434804.71	6477172.90	B.Low
435559.81	6478131.10	B.Low
436176.22	6477499.60	B.Low
436407.37	6477978.70	A.Very-Low
437409.03	6476824.50	A.Very-Low
438333.64	6477760.90	A.Very-Low
438611.02	6476839.00	A.Very-Low
438564.79	6478087.60	C.Medium
438010.02	6479256.30	C.Medium
437285.75	6478719.10	C.Medium
436160.81	6478182.00	C.Medium
435590.63	6479002.20	C.Medium
436854.26	6479430.50	C.Medium
437116.24	6480076.60	C.Medium
437655.59	6480308.90	E.Very-High
438456.92	6479278.10	E.Very-High
437932.97	6479844.30	E.Very-High
433448.62	6477877.10	D.High
433356.16	6479394.20	D.High
434296.18	6478109.40	D.High
434496.51	6478929.60	D.High
435189.97	6479524.90	D.High
436083.76	6480004.00	D.High
435313.25	6480388.70	E.Very-High
433587.31	6479815.30	E.Very-High
434203.72	6480461.30	E.Very-High
433171.24	6476541.40	B.Low
438757.41	6476541.40	A.Very-Low
433171.24	6480526.60	E.Very-High
438757.41	6480526.60	E.Very-High
